Column Header,Description
compatScenario,concatenation of the genetic architecture properties of the starting population
scenario,"combination of strategy, assumed cycle length, selection intensity, and estimation method"
strategy,The breeding strategy
intensity,"The selection intensity. The EPPP scenarios are indicated here with ""EPPP High Intensity"" and ""EPPP Low Intensity""."
Method,The estimation method and assumed cycle lengths
rep,The replicate
cycle,The breeding cycle
year,The year given assumed cycle lengths
yearMaker,Variable to subset responses at 15 years (value = 8) or at 50 years (value = 25) as well as at 25 cycles for phenotypic selection (value = 25)
meanDD,The mean dominance degree of the starting population
varDD,The variance of dominance degrees in the starting population
ploidy,The ploidy level
nQTL,The number of trait QTL
nSNP,"The number of genotyped SNPs per chromosome, if applicable; always 100 per chromosome"
nChr,The number of chromosomes; always 10
meanG.Hybrids,The mean genetic value of the inter-pool hybrids in two-pool strategies
meanG.Elite,The mean genetic value of the intra-pool genotypes in one-pool strategies
meanG.EliteA,The mean genetic value of the intra-pool genotypes in the first pool in two-pool strategies
meanG.EliteB,The mean genetic value of the intra-pool genotypes in the second pool in two-pool strategies
meanA.Hybrids,The mean additive value of the inter-pool hybrids in two-pool strategies
meanA.Elite,The mean additive value of the intra-pool genotypes in one-pool strategies
meanA.EliteA,The mean additive value of the intra-pool genotypes in the first pool in two-pool strategies
meanA.EliteB,The mean additive value of the intra-pool genotypes in the second pool in two-pool strategies
meanD.Hybrids,The mean dominance value of the inter-pool hybrids in two-pool strategies
meanD.Elite,The mean dominance value of the intra-pool genotypes in one-pool strategies
meanD.EliteA,The mean dominance value of the intra-pool genotypes in the first pool in two-pool strategies
meanD.EliteB,The mean dominance value of the intra-pool genotypes in the second pool in two-pool strategies
meanGCA.A,The mean GCA of the intra-pool genotypes in the first pool in two-pool strategies
meanGCA.B,The mean GCA of the intra-pool genotypes in the second pool in two-pool strategies
meanTrueGCA.A,The mean true GCA of the intra-pool genotypes in the first pool in two-pool strategies
meanTrueGCA.B,The mean true GCA of the intra-pool genotypes in the second pool in two-pool strategies
meanTrueSCA.Hybrids,The mean true SCA of the inter-pool genotypes in two-pool strategies
acc.Elite,The accuracy of estimates of breeding value in the intra-pool genotypes in one-pool strategies
accGCA.EliteA,The accuracy of estimates of GCA in the first pool of intra-pool genotypes in one-pool strategies
accGCA.EliteB,The accuracy of estimates of GCA in the second pool of intra-pool genotypes in one-pool strategies
accGPCP.Elite,The accuracy of genomic estimates of cross performance in the intra-pool genotypes in one-pool strategies
acc.EliteA,The accuracy of estimates of breeding value in the first pool intra-pool genotypes in two-pool strategies
acc.EliteB,The accuracy of estimates of breeding value in the second pool intra-pool genotypes in two-pool strategies
Accuracy,The selection accuracy for all strategies
varG.Hybrids,The total true genetic variance of the inter-pool hybrids in two-pool strategies
varG.Elite,The total true genetic variance of the intra-pool genotypes in one-pool strategies
varG.EliteA,The total true genetic variance of the first pool intra-pool genotypes in two-pool strategies
varG.EliteB,The total true genetic variance of the second pool intra-pool genotypes in two-pool strategies
varA.Hybrids,The true additive genetic variance of the inter-pool hybrids in two-pool strategies
