population,popMeanD,popSDD
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep1,3.6E-05,0.0137
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep10,1.8E-05,0.0138
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep2,-1.2E-05,0.0144
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep3,5.2E-05,0.0141
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep4,2.1E-05,0.0141
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep5,4.3E-05,0.0138
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep6,2.9E-05,0.0134
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep7,1.1E-05,0.0136
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep8,2.2E-05,0.0137
meanDD0.5_varDD0.2_ploidy2_nQTL100_nSNP100_nChr10_rep9,3.3E-05,0.0139
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep1,3.1E-05,0.0139
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep10,4.4E-05,0.0136
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep2,-1.1E-05,0.0135
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep3,2.6E-05,0.0134
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep4,3.7E-05,0.0139
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep5,7.9E-05,0.0140
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep6,3.7E-05,0.0140
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep7,1.3E-05,0.0142
meanDD0.5_varDD0.2_ploidy2_nQTL1000_nSNP100_nChr10_rep8,8.6E-06,0.0137
